id,image_id,geometry,class
1,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(135, 522), (245, 522), (245, 600), (135, 600), (135, 522)]",Pesawat
2,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1025, 284), (1125, 284), (1125, 384), (1025, 384), (1025, 284)]",Pesawat
3,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1058, 1503), (1130, 1503), (1130, 1568), (1058, 1568), (1058, 1503)]",Pesawat
4,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(813, 1518), (885, 1518), (885, 1604), (813, 1604), (813, 1518)]",Pesawat
5,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(594, 938), (657, 938), (657, 1012), (594, 1012), (594, 938)]",Pesawat
6,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(451, 725), (524, 725), (524, 798), (451, 798), (451, 725)]",Pesawat
7,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1543, 1437), (1614, 1437), (1614, 1497), (1543, 1497), (1543, 1437)]",Pesawat
8,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1485, 1370), (1561, 1370), (1561, 1437), (1485, 1437), (1485, 1370)]",Pesawat
9,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1968, 1624), (2053, 1624), (2053, 1687), (1968, 1687), (1968, 1624)]",Pesawat
10,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1659, 1674), (1733, 1674), (1733, 1746), (1659, 1746), (1659, 1674)]",Pesawat
11,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1865, 2091), (1951, 2091), (1951, 2165), (1865, 2165), (1865, 2091)]",Pesawat
12,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(2052, 1772), (2135, 1772), (2135, 1834), (2052, 1834), (2052, 1772)]",Pesawat
13,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(2146, 2031), (2225, 2031), (2225, 2102), (2146, 2102), (2146, 2031)]",Pesawat
14,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1006, 2345), (1088, 2345), (1088, 2412), (1006, 2412), (1006, 2345)]",Pesawat
15,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1931, 2163), (2009, 2163), (2009, 2247), (1931, 2247), (1931, 2163)]",Pesawat
16,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1231, 1532), (1295, 1532), (1295, 1607), (1231, 1607), (1231, 1532)]",Pesawat
17,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(740, 1268), (804, 1268), (804, 1356), (740, 1356), (740, 1268)]",Pesawat
18,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(645, 1399), (730, 1399), (730, 1458), (645, 1458), (645, 1399)]",Pesawat
19,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(607, 1752), (718, 1752), (718, 1867), (607, 1867), (607, 1752)]",Pesawat
20,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(906, 2024), (1022, 2024), (1022, 2140), (906, 2140), (906, 2024)]",Pesawat
21,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(1105, 1568), (1151, 1568), (1151, 1640), (1105, 1640), (1105, 1568)]",Pesawat
22,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(1169, 1546), (1218, 1546), (1218, 1614), (1169, 1614), (1169, 1546)]",Pesawat
23,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(1243, 1521), (1287, 1521), (1287, 1588), (1243, 1588), (1243, 1521)]",Pesawat
24,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(1503, 1404), (1565, 1404), (1565, 1474), (1503, 1474), (1503, 1404)]",Pesawat
25,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(1633, 1341), (1697, 1341), (1697, 1418), (1633, 1418), (1633, 1341)]",Pesawat
26,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(2322, 1163), (2381, 1163), (2381, 1237), (2322, 1237), (2322, 1163)]",Pesawat
27,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(1953, 1305), (2016, 1305), (2016, 1359), (1953, 1359), (1953, 1305)]",Pesawat
28,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(1767, 1522), (1834, 1522), (1834, 1574), (1767, 1574), (1767, 1522)]",Pesawat
29,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(1199, 1982), (1260, 1982), (1260, 2040), (1199, 2040), (1199, 1982)]",Pesawat
30,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(1013, 1820), (1093, 1820), (1093, 1875), (1013, 1875), (1013, 1820)]",Pesawat
31,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(1329, 1928), (1405, 1928), (1405, 1987), (1329, 1987), (1329, 1928)]",Pesawat
32,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(1883, 1707), (1947, 1707), (1947, 1763), (1883, 1763), (1883, 1707)]",Pesawat
33,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(2034, 1510), (2102, 1510), (2102, 1566), (2034, 1566), (2034, 1510)]",Pesawat
34,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(2003, 1437), (2072, 1437), (2072, 1493), (2003, 1493), (2003, 1437)]",Pesawat
35,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(1978, 1377), (2038, 1377), (2038, 1427), (1978, 1427), (1978, 1377)]",Pesawat
36,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(2170, 1162), (2230, 1162), (2230, 1219), (2170, 1219), (2170, 1162)]",Pesawat
37,74d335db-bf64-424a-88d7-5c24625c50b1.jpg,"[(2249, 1381), (2313, 1381), (2313, 1430), (2249, 1430), (2249, 1381)]",Pesawat
