id,image_id,geometry,class,bounds,width,height
1,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(135, 522), (245, 522), (245, 600), (135, 600), (135, 522)]",Pesawat,"(135, 522, 245, 600)",110,78
2,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1025, 284), (1125, 284), (1125, 384), (1025, 384), (1025, 284)]",Pesawat,"(1025, 284, 1125, 384)",100,100
3,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1058, 1503), (1130, 1503), (1130, 1568), (1058, 1568), (1058, 1503)]",Pesawat,"(1058, 1503, 1130, 1568)",72,65
4,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(813, 1518), (885, 1518), (885, 1604), (813, 1604), (813, 1518)]",Pesawat,"(813, 1518, 885, 1604)",72,86
5,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(594, 938), (657, 938), (657, 1012), (594, 1012), (594, 938)]",Pesawat,"(594, 938, 657, 1012)",63,74
6,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(451, 725), (524, 725), (524, 798), (451, 798), (451, 725)]",Pesawat,"(451, 725, 524, 798)",73,73
7,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1543, 1437), (1614, 1437), (1614, 1497), (1543, 1497), (1543, 1437)]",Pesawat,"(1543, 1437, 1614, 1497)",71,60
8,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1485, 1370), (1561, 1370), (1561, 1437), (1485, 1437), (1485, 1370)]",Pesawat,"(1485, 1370, 1561, 1437)",76,67
9,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1968, 1624), (2053, 1624), (2053, 1687), (1968, 1687), (1968, 1624)]",Pesawat,"(1968, 1624, 2053, 1687)",85,63
10,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1659, 1674), (1733, 1674), (1733, 1746), (1659, 1746), (1659, 1674)]",Pesawat,"(1659, 1674, 1733, 1746)",74,72
11,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1865, 2091), (1951, 2091), (1951, 2165), (1865, 2165), (1865, 2091)]",Pesawat,"(1865, 2091, 1951, 2165)",86,74
12,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(2052, 1772), (2135, 1772), (2135, 1834), (2052, 1834), (2052, 1772)]",Pesawat,"(2052, 1772, 2135, 1834)",83,62
13,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(2146, 2031), (2225, 2031), (2225, 2102), (2146, 2102), (2146, 2031)]",Pesawat,"(2146, 2031, 2225, 2102)",79,71
14,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1006, 2345), (1088, 2345), (1088, 2412), (1006, 2412), (1006, 2345)]",Pesawat,"(1006, 2345, 1088, 2412)",82,67
15,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1931, 2163), (2009, 2163), (2009, 2247), (1931, 2247), (1931, 2163)]",Pesawat,"(1931, 2163, 2009, 2247)",78,84
16,4f833867-273e-4d73-8bc3-cb2d9ceb54ef.jpg,"[(1231, 1532), (1295, 1532), (1295, 1607), (1231, 1607), (1231, 1532)]",Pesawat,"(1231, 1532, 1295, 1607)",64,75
